Opponent,Date,Position,Mins,Goals,Assists,Yel,Red,Shots,PS%,AerialsWon,Rating
Fulham (A)3-0,16-03-2024,FW,87,-,-,-,-,2,90.6,-,6.49
Aston Villa (A)0-4,10-03-2024,FW,90,1,2,-,-,2,86.0,-,9.35
Crystal Palace (H)3-1,02-03-2024,FW,90,1,-,-,-,5,73.9,-,8.34
Wolves (H)1-2,17-02-2024,AML,90,-,-,-,-,-,81.3,-,6.04
Brighton (H)2-1,10-02-2024,Sub,28,-,1,-,-,-,91.7,-,6.77
Bournemouth (H)3-1,31-12-2023,AML,90,1,-,-,-,2,97.1,-,8.16
Brighton (A)4-2,28-12-2023,AML,90,-,1,-,-,5,81.3,-,6.8
Everton (H)2-1,23-12-2023,AML,90,1,-,-,-,2,70.6,-,7.57
Nottingham Forest (A)0-2,15-12-2023,AML,88,-,-,1,-,4,83.3,-,7.02
Newcastle (H)4-1,10-12-2023,AML,90,1,2,-,-,4,80.6,-,9.5
West Ham (H)1-2,07-12-2023,FW,88,-,-,-,-,1,78.6,-,7.0
Manchester City (A)3-3,03-12-2023,FW,90,1,1,-,-,1,85.0,1,7.51
Aston Villa (H)1-2,26-11-2023,FW,90,-,-,-,-,2,88.0,-,6.71
Wolves (A)2-1,11-11-2023,FW,90,-,-,-,-,1,80.0,1,6.28
Chelsea (H)1-4,06-11-2023,FW,90,-,-,-,-,2,85.7,-,6.42
Crystal Palace (A)1-2,27-10-2023,FW,90,1,-,-,-,2,85.0,-,7.31
Fulham (H)2-0,23-10-2023,FW,82,1,1,-,-,3,83.3,-,8.91
Luton (A)0-1,07-10-2023,FW,76,-,-,-,-,3,90.0,-,6.82
Liverpool (H)2-1,30-09-2023,FW,69,1,-,-,-,4,81.3,-,7.04
Arsenal (A)2-2,24-09-2023,FW,79,2,-,-,-,3,92.9,-,8.12
Sheffield United (H)2-1,16-09-2023,FW,80,-,-,-,-,3,88.9,1,5.98
Burnley (A)2-5,02-09-2023,FW,72,3,-,-,-,5,82.4,-,9.61
Bournemouth (A)0-2,26-08-2023,AML,90,-,-,-,-,2,84.6,-,7.34
Manchester United (H)2-0,19-08-2023,AML,90,-,-,-,-,1,78.9,-,7.73
Brentford (A)2-2,13-08-2023,AML,75,-,-,-,-,2,88.2,-,6.11
